group,question,test,statistic,p_value,read,test_order
A,Regional tilt,"Welch t-test, NE vs South quota per head",t = -0.51,0.6272475165612831,NE $5.04 vs South $6.51 per head. No detectable regional tilt.,1
A,Regional tilt,"Mann-Whitney U, NE vs South",U = 9,0.9047619047619049,Rank-based version of the same comparison; agrees.,2
A,Regional tilt,"Exact permutation, NE vs South (126 relabelings)",diff = ($1.47),0.7777777777777778,Every possible relabeling of 9 states as 4 NE / 5 South. South Carolina alone drives the Southern mean.,3
B,Relief vs contribution,"Spearman rho, relief per head vs 1793 settlement per head",rho = 0.55,0.05177062555916278,Moderate positive rank correlation: states the audit found had over-paid got more relief.,4
B,Relief vs contribution,"Pearson r, same variables",r = 0.54,0.055941553962612134,Linear version; agrees in size.,5
B,Relief vs contribution,Spearman rho on raw dollars (no shared population denominator),rho = 0.31,0.30644705251252896,"Same sign, weaker. Per-capita ratios share a denominator, which can inflate a correlation; this is the check.",6
B,Relief vs contribution,"Exact permutation, creditor vs debtor states, one-sided (1716 relabelings)",$6.12 vs $2.67,0.0472027972027972,"Creditor states received 2.3x the relief per head of debtor states. Uncorrected for multiple comparisons; suggestive, not confirmatory.",7
C,Proportional to population?,Dissimilarity index vs total population,20.2%,,20.2% of the $21.5M would have to move between states to match this basis. Descriptive; no chi-square is reported because that test assumes counts and its value depends on the unit.,8
C,Proportional to population?,Dissimilarity index vs free population,19.1%,,19.1% of the $21.5M would have to move between states to match this basis. Descriptive; no chi-square is reported because that test assumes counts and its value depends on the unit.,9
C,Proportional to population?,Dissimilarity index vs three-fifths basis,19.8%,,19.8% of the $21.5M would have to move between states to match this basis. Descriptive; no chi-square is reported because that test assumes counts and its value depends on the unit.,10
